"query","variants","reason","source_files","source_locations","trends_signal"
"presentation google","presentation google","Generic presentation or unsupported presentation-file intent","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv | searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#47 | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#51 | searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#10 | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#10","rising | top"
"presentation ideas","presentation ideas","Generic presentation or unsupported presentation-file intent","searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv","searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#37 | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#34","top"
"presentation intelligence","presentation intelligence","Generic presentation or unsupported presentation-file intent","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#26 | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#29","rising"
"presentation maker","presentation maker","Generic presentation or unsupported presentation-file intent","searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv","searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#30 | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#20 | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#28","top"
"presentation maker ai","presentation maker ai","Generic presentation or unsupported presentation-file intent","searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv","searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#42 | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#31 | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#39","top"
"presentation meaning","presentation meaning","Generic presentation or unsupported presentation-file intent","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#50 | searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#23 | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#21","rising | top"
"presentation powerpoint","presentation powerpoint","Generic presentation or unsupported presentation-file intent","searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv","searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#7 | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#7","top"
"presentation skills","presentation skills","Generic presentation or unsupported presentation-file intent","searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv","searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#47 | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#44","top"
"presentation slides","presentation slides","Generic presentation or unsupported presentation-file intent","searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv","searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#12","top"
"presentation software","presentation software","Generic presentation or unsupported presentation-file intent","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv | searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#28 | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#32 | searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#26 | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#24","rising | top"
"presentation template","presentation template","Generic presentation or unsupported presentation-file intent","searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv","searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#22 | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#20","top"
"presentation templates","presentation templates","Generic presentation or unsupported presentation-file intent","searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv","searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#38 | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#22 | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#35","top"
"presentation tools","presentation tools","Generic presentation or unsupported presentation-file intent","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv | searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#19 | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#24 | searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#34 | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#32","rising | top"
"presentation 中文","presentation 中文","Generic presentation or unsupported presentation-file intent","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#31 | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#36","rising"
"prezi","prezi","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1815_20260802-1815 (1).csv | searched_with_top-searches_Worldwide_20250802-1815_20260802-1815 (1).csv","searched_with_rising-searches_Worldwide_20250802-1815_20260802-1815 (1).csv#39 | searched_with_top-searches_Worldwide_20250802-1815_20260802-1815 (1).csv#22","rising | top"
"punisher special presentation","punisher special presentation","Generic presentation or unsupported presentation-file intent","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#20 | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#25","rising"
"python","python","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816 (3).csv | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv#35 | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816 (3).csv#10 | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv#3","rising | top"
"python data analysis","python data analysis","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808.csv","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808.csv#21","rising:Breakout"
"python json parse","python json parse","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1816_20260802-1816 (3).csv","searched_with_top-searches_Worldwide_20250802-1816_20260802-1816 (3).csv#40","top"
"python parse","python parse","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1816_20260802-1816 (3).csv","searched_with_top-searches_Worldwide_20250802-1816_20260802-1816 (3).csv#11","top"
"python parse json","python parse json","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1816_20260802-1816 (3).csv","searched_with_top-searches_Worldwide_20250802-1816_20260802-1816 (3).csv#41","top"
"python parse string","python parse string","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1816_20260802-1816 (3).csv","searched_with_top-searches_Worldwide_20250802-1816_20260802-1816 (3).csv#44","top"
"python pptx","python pptx","Generic presentation or unsupported presentation-file intent","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (2).csv | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (2).csv | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (2).csv | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (2).csv","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (2).csv#14 | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (2).csv#19 | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (2).csv#23 | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (2).csv#15","rising | top"
"python programming tutorial","python programming tutorial","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv | searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (3).csv","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#19 | searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (3).csv#20","rising"
"python web framework","python web framework","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (2).csv | searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (3).csv | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (2).csv","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (2).csv#15 | searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (3).csv#3 | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#7 | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (2).csv#51","rising | rising:Breakout | top"
"python web scraping","python web scraping","Programmatic scraping or parser intent not served by the product","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv#38 | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv#9","rising | top"
"python-pptx","python-pptx","Generic presentation or unsupported presentation-file intent","searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (2).csv | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (2).csv","searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (2).csv#5 | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (2).csv#47","rising | top"
"quotes to scrape","quotes to scrape","Programmatic scraping or parser intent not served by the product","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv#11 | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv#35","rising | top"
"qwen ai","qwen ai","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812.csv","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812.csv#38","rising"
"r.jina.ai","r.jina.ai","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#32","rising"
"ransomware news today","ransomware news today","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#38","rising:Breakout"
"react development","react development","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv | searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (3).csv | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#14 | searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv#41 | searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (3).csv#35 | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#18","rising"
"regex","regex","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1816_20260802-1816 (3).csv","searched_with_top-searches_Worldwide_20250802-1816_20260802-1816 (3).csv#45","top"
"remove background","remove background","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (2).csv | searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (3).csv","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (2).csv#45 | searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (3).csv#36","rising"
"remove page from pdf","remove page from pdf","Existing PDF page-editing intent is outside the product","searched_with_top-searches_Worldwide_20250802-1809_20260802-1809.csv","searched_with_top-searches_Worldwide_20250802-1809_20260802-1809.csv#43","top"
"remove page pdf","remove page pdf","Existing PDF page-editing intent is outside the product","searched_with_top-searches_Worldwide_20250802-1809_20260802-1809.csv","searched_with_top-searches_Worldwide_20250802-1809_20260802-1809.csv#19","top"
"remove pages from pdf","remove pages from pdf","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817.csv","searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817.csv#42","rising"
"remove pdf page","remove pdf page","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1809_20260802-1809.csv","searched_with_top-searches_Worldwide_20250802-1809_20260802-1809.csv#15","top"
"resize pdf","resize pdf","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (3).csv | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817.csv","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (3).csv#45 | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817.csv#35","rising"
"robotics programming","robotics programming","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (3).csv","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (3).csv#21","rising"
"rotate pdf","rotate pdf","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817.csv","searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817.csv#34","rising"
"rtps bihar","rtps bihar","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (3).csv","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (3).csv#30","rising"
"scholar gpt","scholar gpt","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812.csv","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812.csv#45","top"
"science news today","science news today","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#11","rising:Breakout"
"scrap","scrap","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv#45 | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv#28","rising | top"
"scrape data from website","scrape data from website","Programmatic scraping or parser intent not served by the product","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (1).csv | searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816 (1).csv | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (1).csv#7 | searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv#44 | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816 (1).csv#5 | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv#20","rising | top"
"scrape google jobs","scrape google jobs","Programmatic scraping or parser intent not served by the product","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv#10 | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv#31","rising | top"
"scrape google python","scrape google python","Programmatic scraping or parser intent not served by the product","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv#28 | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv#16","rising | top"
"scrape google scholar","scrape google scholar","Programmatic scraping or parser intent not served by the product","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv#22 | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv#44","rising | top"
"scrape meaning","scrape meaning","Programmatic scraping or parser intent not served by the product","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv#13 | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv#10","rising | top"
"scraping google images","scraping google images","Programmatic scraping or parser intent not served by the product","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv#9 | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv#36","rising | top"
"scrapy","scrapy","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv#48 | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv#40","rising | top"
"selenium","selenium","Programmatic scraping or parser intent not served by the product","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv#40 | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv#17","rising | top"
"selenium web scraping","selenium web scraping","Programmatic scraping or parser intent not served by the product","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv#37 | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv#34","rising | top"
"semiconductor news","semiconductor news","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (3).csv | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (3).csv","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#49 | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#5 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (3).csv#24 | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#43","rising | rising:Breakout | top | top:Breakout"
"semiconductor news today","semiconductor news today","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808.csv | searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv | searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv | searched_with_rising-searches_Worldwide_20250802-1815_20260802-1815 (1).csv | searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (3).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (3).csv | searched_with_top-searches_Worldwide_20250802-1815_20260802-1815 (1).csv","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808.csv#22 | searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv#16 | searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv#12 | searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#7 | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#10 | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#17 | searched_with_rising-searches_Worldwide_20250802-1815_20260802-1815 (1).csv#21 | searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (3).csv#14 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (3).csv#49 | searched_with_top-searches_Worldwide_20250802-1815_20260802-1815 (1).csv#37","rising:Breakout | rising | top:Breakout"
"sendgrid inbound parse","sendgrid inbound parse","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (3).csv","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (3).csv#36","rising"
"sheets","sheets","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (2).csv","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (2).csv#50","rising"
"shopify news","shopify news","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#11 | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#19","rising:Breakout"
"signal export chat","signal export chat","Native-only messenger intent outside a Chrome tab","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (3).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (5).csv","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (3).csv#41 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (5).csv#46","rising | top"
"site gpt","site gpt","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (1).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812.csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (1).csv#33 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812.csv#27","rising | top"
"sketchup web","sketchup web","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (2).csv","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (2).csv#43","rising"
"slide presentation","slide presentation","Generic presentation or unsupported presentation-file intent","searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv","searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#20 | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#18","top"
"slides","slides","Generic presentation or unsupported presentation-file intent","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (2).csv | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (2).csv | searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (2).csv | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (2).csv","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (2).csv#35 | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (2).csv#32 | searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#16 | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#9 | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (2).csv#17 | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#14 | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (2).csv#18","rising | top"
"slides presentation","slides presentation","Generic presentation or unsupported presentation-file intent","searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv","searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv#15 | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#13","top"
"slideshow presentation","slideshow presentation","Generic presentation or unsupported presentation-file intent","searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv","searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#40","top"
"small pdf","small pdf","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817.csv | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817.csv","searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817.csv#7 | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817.csv#18","rising | top"
"software testing strategies","software testing strategies","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv#32","rising"
"sora","sora","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812.csv","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812.csv#34","rising"
"sora 2","sora 2","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv#34","rising"
"sora chatgpt","sora chatgpt","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv#11 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#21","rising | top"
"space news today","space news today","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv | searched_with_rising-searches_Worldwide_20250802-1815_20260802-1815 (1).csv | searched_with_top-searches_Worldwide_20250802-1815_20260802-1815 (1).csv","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#18 | searched_with_rising-searches_Worldwide_20250802-1815_20260802-1815 (1).csv#24 | searched_with_top-searches_Worldwide_20250802-1815_20260802-1815 (1).csv#40","rising:Breakout | top:Breakout"
